        FltTime          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL         Ascent
              s            hPa             °C              %            m/s              °              m          m/min
------------------------------------------------------------------------------------------------------------------------
          169.0         895.18         +16.30          73.62           14.5            208          843.0            328
          170.0         894.55         +16.24          73.96           14.5            208          849.0            325
          171.0         893.92         +16.17          74.11           14.6            208          855.0            322
          172.0         893.27         +16.11          74.47           14.6            208          861.2            320
          173.0         892.64         +16.05          74.63           14.6            209          867.2            317
          174.0         892.03         +16.02          74.91           14.7            209          873.0            315
          175.0         891.41         +15.95          75.01           14.7            209          879.0            313
          176.0         890.84         +15.90          75.24           14.8            209          884.4            311
          177.0         890.30         +15.86          75.23           14.8            209          889.6            308
          178.0         889.77         +15.81          74.99           14.9            210          894.6            305
          179.0         889.29         +15.80          74.77           14.9            210          899.2            302
          180.0         888.88         +15.81          74.44           15.0            210          903.1            298
          181.0         888.44         +15.77          74.36           15.1            210          907.3            295
          182.0         888.00         +15.75          74.42           15.1            210          911.5            292
          183.0         887.54         +15.72          74.48           15.2            211          915.9            289
          184.0         887.06         +15.71          74.62           15.3            211          920.5            287
          185.0         886.58         +15.65          74.83           15.3            211          925.1            286
          186.0         886.08         +15.61          75.22           15.3            211          929.9            287
          187.0         885.60         +15.55          75.41           15.4            212          934.5            289
          188.0         885.14         +15.50          75.76           15.4            212          938.9            291
          189.0         884.67         +15.47          75.93           15.4            212          943.5            294
          190.0         884.17         +15.39          76.09           15.5            212          948.3            298
          191.0         883.65         +15.35          76.38           15.5            213          953.3            302
          192.0         883.13         +15.30          76.27           15.6            213          958.3            307
          193.0         882.59         +15.27          76.36           15.6            213          963.5            311
          194.0         882.05         +15.25          76.22           15.6            213          968.7            316
          195.0         881.47         +15.20          76.38           15.7            213          974.3            319
          196.0         880.89         +15.17          76.71           15.7            214          979.9            322
          197.0         880.28         +15.10          76.84           15.7            214          985.7            324
          198.0         879.68         +15.05          77.13           15.8            214          991.5            326
          199.0         879.10         +15.00          77.35           15.8            214          997.1            328
          200.0         878.54         +14.95          77.52           15.9            214         1002.5            330
          201.0         877.99         +14.89          77.66           15.9            214         1007.9            331
          202.0         877.39         +14.85          77.90           16.0            214         1013.6            332
          203.0         876.77         +14.80          78.17           16.0            214         1019.6            332
          204.0         876.15         +14.75          78.18           16.0            214         1025.6            332
          205.0         875.55         +14.69          78.43           16.1            214         1031.4            331
          206.0         874.97         +14.64          78.78           16.1            214         1037.0            330
          207.0         874.41         +14.59          78.99           16.2            214         1042.4            329
          208.0         873.88         +14.55          79.23           16.2            214         1047.6            329
          209.0         873.34         +14.49          79.45           16.2            214         1052.8            329
          210.0         872.78         +14.41          79.72           16.3            214         1058.2            330
          211.0         872.23         +14.38          79.95           16.3            214         1063.6            331
          212.0         871.69         +14.34          80.12           16.4            214         1068.8            331
          213.0         871.16         +14.28          80.35           16.4            214         1074.0            328
          214.0         870.60         +14.23          80.60           16.5            214         1079.4            326
          215.0         870.07         +14.18          80.82           16.5            214         1084.6            324
          216.0         869.53         +14.13          80.89           16.6            214         1089.8            323
          217.0         868.96         +14.09          81.03           16.7            214         1095.4            322
          218.0         868.36         +13.99          81.12           16.7            214         1101.2            322
          219.0         867.79         +13.98          81.40           16.8            214         1106.8            324
          220.0         867.21         +13.94          81.37           16.8            214         1112.4            326
          221.0         866.62         +13.86          81.65           16.9            214         1118.2            328
          222.0         866.05         +13.83          82.05           17.0            214         1123.7            332
          223.0         865.51         +13.77          82.11           17.1            214         1128.9            337
          224.0         864.98         +13.73          82.53           17.1            214         1134.1            341
          225.0         864.45         +13.67          82.63           17.2            214         1139.3            346
          226.0         863.92         +13.62          82.90           17.3            214         1144.5            350
          227.0         863.41         +13.58          83.14           17.4            215         1149.5            353
          228.0         862.85         +13.53          83.31           17.5            215         1154.9            355
          229.0         862.26         +13.48          83.71           17.6            214         1160.7            357
          230.0         861.65         +13.41          84.13           17.6            214         1166.7            359
          231.0         861.02         +13.33          84.69           17.7            214         1172.9            360
          232.0         860.34         +13.27          84.89           17.7            214         1179.5            361
          233.0         859.65         +13.19          85.15           17.8            214         1186.3            364
          234.0         858.96         +13.13          85.68           17.9            214         1193.1            366
          235.0         858.27         +13.06          86.05           18.0            214         1199.9            368
          236.0         857.60         +12.98          86.47           18.1            214         1206.5            369
          237.0         856.92         +12.92          86.78           18.1            215         1213.1            371
          238.0         856.27         +12.85          86.88           18.2            215         1219.5            371
          239.0         855.64         +12.81          87.20           18.3            215         1225.7            370
          240.0         855.01         +12.73          87.37           18.3            215         1231.8            368
          241.0         854.39         +12.68          87.74           18.4            215         1238.0            366
          242.0         853.78         +12.63          87.92           18.5            215         1244.0            361
          243.0         853.17         +12.56          88.36           18.6            215         1250.0            355
          244.0         852.56         +12.50          88.76           18.6            215         1256.0            350
          245.0         851.97         +12.44          89.13           18.7            215         1261.8            344
          246.0         851.41         +12.35          89.49           18.8            215         1267.4            340
          247.0         850.84         +12.31          89.42           18.9            215         1273.0            336
          248.0         850.27         +12.27          89.06           19.0            215         1278.6            332
          249.0         849.73         +12.27          88.35           19.1            215         1284.0            329
          250.0         849.18         +12.30          87.50           19.1            215         1289.4            327
          251.0         848.64         +12.28          87.42           19.2            215         1294.8            323
          252.0         848.13         +12.28          87.52           19.3            215         1299.8            321
          253.0         847.65         +12.23          88.00           19.4            216         1304.6            319
          254.0         847.15         +12.17          88.38           19.5            216         1309.6            317
          255.0         846.64         +12.11          88.30           19.6            216         1314.6            315
          256.0         846.12         +12.10          87.88           19.7            216         1319.8            314
          257.0         845.60         +12.10          87.79           19.7            216         1325.0            312
          258.0         845.07         +12.05          88.05           19.8            216         1330.1            310
          259.0         844.55         +11.99          88.54           19.9            216         1335.3            308
          260.0         844.01         +11.95          88.65           19.9            216         1340.7            307
          261.0         843.50         +11.89          88.98           20.0            216         1345.7            305
          262.0         842.98         +11.85          89.70           20.1            216         1350.9            305
          263.0         842.44         +11.78          90.47           20.1            216         1356.3            306
          264.0         841.92         +11.65          91.61           20.2            216         1361.5            305
          265.0         841.40         +11.58          92.15           20.2            217         1366.7            304
          266.0         840.88         +11.51          91.68           20.3            217         1371.9            301
          267.0         840.37         +11.51          91.07           20.3            217         1376.9            299
          268.0         839.89         +11.50          90.40           20.4            217         1381.7            296
          269.0         839.39         +11.52          90.63           20.5            217         1386.7            292
